Progressions,Modifier,Reps (10-15),Sets (3),Weight,Muscle Group Targeted
Lean,paralletes,max,,,anterior deltoids
Lean Pushups,paralletes,,,,
Tuck Hold,paralletes,max,,,
Knee raise to tuck,paralletes,,,,
Knee raise to straddle,,,,,
Knee rase to planche,,,,,
Planche pushups,paralletes,,,,
Tuck pushups,paralletes,,,,
wrist warmups,dumbells/bands,,,,
planche holds,paralletes,max,,,
arrow pushups,paralletes,,,,
one arm pushups,,,,,
regular pushups,paralletes,,,,
elevated pushups,,,,,
standing one arm extensions,dumbells/bands,,,,
fly lie down w/dumbells,,,,10-15,
leg raise to tuck w/dip bar,,,,,
leg raise to planche w/dip bar,,,,,
planche lunge on paralletes,,,,,